Group2,7,,10,,3,0,0,,,,Group4,7,,10,,3,0,0
,6,,8,,2,0,0,,,,,6,,8,,2,0,0
,4,,8,,4,0,0,,,,,5,,8,,3,0,0
,6,,9,,3,0,0,,,,,6,,9,,3,0,0
,7,,7,,0,1,0,,,,,7,,7,,0,1,0
,7,,8,,1,0,1,,,,,7,,8,,1,0,1
,6,,8,,2,0,0,,,,,8,,8,,0,1,0
,5,,10,,5,0,0,,,,,5,,10,,5,0,0
,7,,8,,1,0,1,,,,,7,,8,,1,0,1
,7,,8,,1,0,1,,,,,7,,8,,1,0,1
,8,,9,,1,0,1,,,,,6,,9,,3,0,0
,6,,10,,4,0,0,,,,,8,,10,,2,0,0
,5,,9,,4,0,0,,,,,3,,9,,6,0,0
,5,,9,,4,0,0,,,,,5,,9,,4,0,0
,6,,8,,2,0,0,,,,,8,,8,,0,1,0
,8,,9,,1,0,1,,,,,9,,9,,0,1,0
,6,,8,,2,0,0,,,,,8,,8,,0,1,0
,3,,9,,6,0,0,,,,,7,,9,,2,0,0
,6,,7,,1,0,1,,,,,9,,7,,2,0,0
,4,,9,,5,0,0,,,,,4,,9,,5,0,0
,8,,9,,1,0,1,,,,,8,,9,,1,0,1
,5,,9,,4,0,0,,,,,7,,9,,2,0,0
,7,,9,,2,0,0,,,,,4,,9,,5,0,0
,7,,10,,3,0,0,,,,,7,,10,,3,0,0
,4,,8,,4,0,0,,,,,4,,8,,4,0,0
,7,,7,,0,1,0,,,,,8,,7,,1,0,1
,5,,9,,4,0,0,,,,,9,,9,,0,1,0
,8,,9,,1,0,1,,,,,8,,9,,1,0,1
,6,,7,,1,0,1,,,,,9,,7,,2,0,0
,7,,8,,1,0,1,,,,,7,,8,,1,0,1
,7,,8,,1,0,1,,,,,7,,8,,1,0,1
,9,,9,,0,1,0,,,,,9,,9,,0,1,0
,5,,10,,5,0,0,,,,,5,,10,,5,0,0
,7,,8,,1,0,1,,,,,6,,8,,2,0,0
,6,,9,,3,0,0,,,,,6,,9,,3,0,0
,5,,10,,5,0,0,,,,,5,,10,,5,0,0
,7,,8,,1,0,1,,,,,7,,8,,1,0,1
,4,,9,,5,0,0,,,,,4,,9,,5,0,0
,8,,9,,1,0,1,,,,,8,,9,,1,0,1
,4,,3,,1,0,1,,,,,4,,3,,1,0,1
,5,,10,,5,0,0,,,,,6,,10,,4,0,0
,7,,10,,3,0,0,,,,,9,,10,,1,0,1
,6,,7,,1,0,1,,,,,6,,7,,1,0,1
,8,,10,,2,0,0,,,,,8,,10,,2,0,0
,7,,8,,1,0,1,,,,,6,,8,,2,0,0
,7,,9,,2,0,0,,,,,9,,9,,0,1,0
,9,,9,,0,1,0,,,,,5,,9,,4,0,0
,6,,7,,1,0,1,,,,,8,,7,,1,0,1
,7,,9,,2,0,0,,,,,7,,9,,2,0,0
,8,,8,,0,1,0,,,,,6,,8,,2,0,0
,7,,7,,0,1,0,,,,,7,,7,,0,1,0
,6,,7,,1,0,1,,,,,7,,7,,0,1,0
,8,,10,,2,0,0,,,,,8,,10,,2,0,0
,8,,10,,2,0,0,,,,,7,,10,,3,0,0
,8,,8,,0,1,0,,,,,8,,8,,0,1,0
,8,,10,,2,0,0,,,,,8,,10,,2,0,0
,8,,10,,2,0,0,,,,,8,,10,,2,0,0
,8,,9,,1,0,1,,,,,8,,9,,1,0,1
,5,,9,,4,0,0,,,,,6,,9,,3,0,0
,3,,9,,6,0,0,,,,,5,,9,,4,0,0
,9,,8,,1,0,1,,,,,9,,8,,1,0,1
,5,,9,,4,0,0,,,,,5,,9,,4,0,0
,7,,8,,1,0,1,,,,,7,,8,,1,0,1
,6,,9,,3,0,0,,,,,5,,9,,4,0,0
,8,,7,,1,0,1,,,,,8,,7,,1,0,1
